lineage,n_cell_types,n_regulons,mean_RI,std_RI,top1_regulon,top1_RI,n_universal_in_top20
Global,61,203,0.005834120077605064,0.000570878707336811,HOXA6_+,0.01033004601024907,1
T_cell,28,182,0.012579755768374105,0.00015948000951653463,FOXM1_+,0.014063143770763962,0
B_cell,12,186,0.029976650683206058,0.0007022988465308045,FOXM1_+,0.037045187047037346,0
Myeloid,13,187,0.02753611380390661,0.0002737695808685477,SCX_+,0.03033649464520612,0
NK_ILC,7,182,0.0527319627655301,0.0023483012606622575,PBX1_+,0.07926439228864843,0
