cell_type_1,cell_type_2,ad_coupling_r,global_rb,ad_minus_global,n_shared_locus_genes,disruption_score
Bn_TCL1A,MK_GP9,0.6749170392374981,0.496110972040734,0.1788060671967641,9,-0.36041546604230906
MAIT_SLC4A10,MK_GP9,0.7152369878673652,0.499673342629525,0.2155636452378402,7,-0.4314091364238867
MK_GP9,gdT2_GZMK,0.6231063560960273,0.430052992092487,0.1930533640035402,5,-0.4489059896181872
CD8_Tem_CCR7neg,MK_GP9,0.79183871767876,0.53919684126012,0.25264187641864,9,-0.4685522189414314
Atypical_Bm_ITGAX,MK_GP9,0.7756263473059694,0.528072792966114,0.2475535543398553,6,-0.4687867991633886
MK_GP9,Unswitched_Bm_CD1C,0.5775028738322301,0.387899419309182,0.1896034545230481,8,-0.488795406965849
DC2_CD1C,MK_GP9,0.6320780643772489,0.419781712142454,0.2122963522347948,5,-0.5057303500700182
CD8_CTL_GZMB,MK_GP9,0.824453857579741,0.513188179322968,0.311265678256773,9,-0.6065332188037055
MK_GP9,NKT_NCR1,0.8152560522263708,0.486930914925696,0.3283251373006747,8,-0.6742745782546504
MK_GP9,Mature_NK_dim_FCGR3A,0.8189551373405324,0.48472268942398,0.3342324479165524,8,-0.6895333253612232
MK_GP9,cMono_CD14,0.8017641685791081,0.470366251492811,0.3313979170862971,9,-0.7045529223972442
MK_GP9,pre-Switched_Bm_JAM3,0.8638193904997691,0.496527176622413,0.367292213877356,6,-0.7397222773903986
MK_GP9,pDC_IRF4,0.7252926781355138,0.398844173370486,0.3264485047650278,8,-0.8184863326605252
MK_GP9,gdT2_IL12RB2,0.8486118448801029,0.453819555934293,0.3947922889458098,7,-0.8699322975032184
MK_GP9,cMono_IL1B,0.737628262812725,0.390928780695886,0.346699482116839,5,-0.8868609814291106
MK_GP9,ncMono_C1QA,0.8242494366732454,0.416201564840698,0.4080478718325473,5,-0.9804092687367203
MK_GP9,Transitional_NK_GZMK,0.8777077007167045,0.441392797093735,0.4363149036229694,7,-0.9884957491282141
MK_GP9,ncMono_FCGR3A,0.8641930147049373,0.423016294651633,0.4411767200533042,7,-1.042930793993709
MK_GP9,Switched_Bm_IGHE,0.7713309972469132,0.377511437760776,0.3938195594861372,6,-1.0431990135771607
MK_GP9,Switched_Bm_IGHDneg,0.7811269857495037,0.377695246802597,0.4034317389469067,6,-1.0681408949733513
