cell_type_1,cell_type_2,global_rb,ad_coupling,disruption
CD4_Th_CCR4,pDC_IRF4,0.810212851746587,0.9957953900687776,-0.18558253832219063
CD4_Th_CCR4,DC2_CD1C,0.831764813765807,0.7749987420300832,0.05676607173572379
CD4_Th_CCR4,CD4_Treg_FOXP3,0.931685368564314,0.5548579977814193,0.37682737078289474
CD4_Th_CCR4,CD4_Th22-like_CCR10,0.950611515817779,0.4943556777544067,0.45625583806337233
CD4_Th_CCR4,CD4_Th17-like_RORC,0.941594729829518,0.6689643729073891,0.2726303569221289
pDC_IRF4,DC2_CD1C,0.844254322736548,0.7984306745131579,0.045823648223390134
pDC_IRF4,CD4_Treg_FOXP3,0.831193772042509,0.5761407692144795,0.25505300282802945
pDC_IRF4,CD4_Th22-like_CCR10,0.835464774728453,0.3961586855026806,0.43930608922577247
pDC_IRF4,CD4_Th17-like_RORC,0.825347736597319,0.9118985206467792,-0.08655078404946026
DC2_CD1C,CD4_Treg_FOXP3,0.830906393814794,0.6209949645182513,0.20991142929654272
DC2_CD1C,CD4_Th22-like_CCR10,0.855330980738656,0.7479353138540537,0.10739566688460234
DC2_CD1C,CD4_Th17-like_RORC,0.842013440486716,0.724392766078937,0.11762067440777901
CD4_Treg_FOXP3,CD4_Th22-like_CCR10,0.942285935457946,0.819577760554439,0.12270817490350705
CD4_Treg_FOXP3,CD4_Th17-like_RORC,0.929209347003513,0.8811885190136043,0.0480208279899087
CD4_Th22-like_CCR10,CD4_Th17-like_RORC,,0.8807046310386792,
