gene,morans_i,mean_expression,pct_expressed,category
KRT10,0.6320658,0.9317408204078674,18.156047516198704,Keratin
KRT1,0.59782255,0.5910347104072571,12.44330453563715,Keratin
KRT5,0.35568035,0.735449492931366,16.53887688984881,Keratin
KRT14,0.23661399,0.23269681632518768,5.556155507559395,Keratin
KRT17,0.18716334,0.17058394849300385,4.117170626349892,Keratin
KRT15,0.17114192,0.1705733835697174,4.157667386609072,Keratin
ID3,0.03212417,0.04865565150976181,1.1825053995680346,BMP_pathway
ID2,0.018444652,0.03421248495578766,0.8666306695464363,BMP_pathway
BMP7,0.012084613,0.010954607278108597,0.28077753779697623,BMP_pathway
ID1,0.01175345,0.021892940625548363,0.537257019438445,BMP_pathway
BMP4,0.006750799,0.009767874144017696,0.2321814254859611,BMP_pathway
SMAD1,0.0017414781,0.008260338567197323,0.19168466522678185,BMP_pathway
BMPR1A,0.00090683013,0.038042835891246796,0.9314254859611231,BMP_pathway
BMP2,-0.00061336986,0.002431521425023675,0.05939524838012959,BMP_pathway
BMPR2,-0.0015343141,0.026917189359664917,0.6452483801295896,BMP_pathway
SMAD5,-0.002317496,0.027057208120822906,0.6533477321814255,BMP_pathway
