metric,rho,p_value,n
Coupling Heterogeneity (CV),0.132877163617907,0.2800455102957025,68
Coupling Specificity (# r_b < 0.7),-0.137003392651133,0.2652464347387289,68
Mean r_b (Coupling Strength),0.35319163179267504,0.0031333187848322733,68
r_b Range (max − min),0.19964086226357672,0.10262972343493725,68
