regulon_clean,n_rg_pairs,n_unique_regions,n_unique_genes,mean_ct_breadth,max_ct_breadth,regulon,mean_RI,rank,stability_class
HMGA1_+,1355,1191,733,18.577665827036103,64,HMGA1_+,0.0028624059504926,24,stabilizer
HOXA6_+,11,10,10,20.2,50,HOXA6_+,7.117623755450489e-05,194,destabilizer
HOXA9_+,13,8,12,16.625,33,HOXA9_+,1.762831773089649e-05,203,destabilizer
HSF1_+,40,32,39,15.59375,50,HSF1_+,0.0063219758744454,1,stabilizer
IKZF1_+,3868,3247,1889,23.875269479519556,65,IKZF1_+,0.0018823458988977,72,intermediate
IKZF2_+,578,547,211,25.595978062157222,63,IKZF2_+,0.000545236981938,178,destabilizer
IKZF3_+,436,388,253,41.90979381443299,64,IKZF3_+,0.0015181749410729,104,intermediate
IRF1_+,5510,4716,998,16.396946564885496,63,IRF1_+,0.0019971232320873,67,intermediate
IRF5_+,1989,1817,663,20.649972482113373,63,IRF5_+,0.0018048420093825,80,intermediate
IRF7_+,2403,2030,893,17.83103448275862,63,IRF7_+,0.0012400760596429,129,intermediate
IRF8_+,5546,4983,931,16.41260284968894,62,IRF8_+,0.0008798657454362,154,destabilizer
JDP2_+,2113,1843,606,14.023874118285404,61,JDP2_+,0.0011959486098259,135,intermediate
JUNB_+,1691,1575,343,17.91936507936508,62,JUNB_+,0.0056610822497949,4,stabilizer
JUND_+,2813,2378,595,16.93103448275862,64,JUND_+,0.0031952113085924,14,stabilizer
JUN_+,443,424,126,22.778301886792452,63,JUN_+,0.0056322638225152,5,stabilizer
KLF10_+,3684,3099,913,19.63730235559858,62,KLF10_+,0.0017544698876382,83,intermediate
KLF11_+,1316,1226,433,21.302610114192497,62,KLF11_+,0.0021833990857479,53,intermediate
KLF12_+,2240,2121,459,39.64120697784064,65,KLF12_+,0.0018059629632226,79,intermediate
KLF2_+,3686,3112,838,27.344473007712082,64,KLF2_+,0.0031043459493656,16,stabilizer
KLF3_+,2995,2751,841,34.17993456924755,65,KLF3_+,0.0027340698249628,30,stabilizer
KLF4_+,5859,5060,885,15.689525691699604,63,KLF4_+,0.0014236118655351,116,intermediate
KLF6_+,3294,3006,756,24.723220226214238,64,KLF6_+,0.0029310896948666,21,stabilizer
KLF7_+,1565,1506,387,28.00597609561753,65,KLF7_+,0.0013475901797717,122,intermediate
KLF8_+,1113,1030,293,25.10970873786408,63,KLF8_+,0.0006189283141346,173,destabilizer
KLF9_+,2417,2267,418,33.70754300838112,65,KLF9_+,0.005693042811916,3,stabilizer
LEF1_+,2608,2301,607,24.229900043459367,63,LEF1_+,0.0004612808418765,181,destabilizer
LYL1_+,1069,983,459,16.31943031536114,60,LYL1_+,0.0013394547347842,125,intermediate
MAFB_+,1745,1518,592,13.523056653491436,61,MAFB_+,0.0012244850402526,132,intermediate
MAFF_+,313,298,142,26.71812080536913,63,MAFF_+,0.0022190492860138,52,intermediate
MAFG_+,234,234,76,15.726495726495726,57,MAFG_+,0.0012090246771734,134,intermediate
MAF_+,924,867,389,28.254901960784313,63,MAF_+,0.0023415376304791,45,stabilizer
MAX_+,7478,6008,2788,29.229194407456724,65,MAX_+,0.0022609309577108,50,stabilizer
MAZ_+,3357,2979,605,32.56965424639141,65,MAZ_+,0.0023882398366828,41,stabilizer
MBD2_+,1286,1125,892,28.269333333333332,63,MBD2_+,0.0025259278609824,37,stabilizer
MEF2A_+,301,273,210,18.60805860805861,60,MEF2A_+,0.0015348570953992,103,intermediate
MEF2C_+,87,78,80,15.717948717948717,53,MEF2C_+,0.0008179704953067,159,destabilizer
MITF_+,123,114,67,17.82456140350877,58,MITF_+,0.0016026815705934,92,intermediate
MXD1_+,401,393,229,18.083969465648856,62,MXD1_+,0.0022543866811867,51,stabilizer
MXI1_+,341,332,176,37.29819277108434,63,MXI1_+,0.002163203582526,54,intermediate
MYBL1_+,800,710,375,26.75492957746479,63,MYBL1_+,0.0017034093365237,85,intermediate
MYBL2_+,19,19,17,44.05263157894737,64,MYBL2_+,0.0008670973482435,156,destabilizer
MYCN_+,485,467,166,11.552462526766595,63,MYCN_+,5.421002510095299e-05,197,destabilizer
MYC_+,985,902,434,33.41241685144124,65,MYC_+,0.0029148687690159,23,stabilizer
NCOA3_+,19,17,18,22.294117647058822,48,NCOA3_+,0.0011500682570737,138,intermediate
NFATC1_+,284,267,214,20.086142322097377,61,NFATC1_+,0.0015371569789524,102,intermediate
NFATC2_+,624,557,420,26.912028725314183,63,NFATC2_+,0.0020661586369232,61,intermediate
NFATC3_+,4105,3676,1204,23.67083786724701,64,NFATC3_+,0.0018204914819808,78,intermediate
NFE2_+,2234,1924,507,13.054573804573804,62,NFE2_+,0.0010487410907156,145,intermediate
NFIC_+,41,40,37,26.4,62,NFIC_+,0.0028586834832165,25,stabilizer
NFIL3_+,329,311,186,16.89710610932476,62,NFIL3_+,0.0026766855011505,33,stabilizer
NFKB2_+,671,626,281,20.492012779552716,62,NFKB2_+,0.001549371994131,100,intermediate
NR1D1_+,252,230,104,21.92608695652174,63,NR1D1_+,0.0007503704870923,167,destabilizer
NR1D2_+,117,104,84,25.009615384615383,60,NR1D2_+,0.0023222972206512,47,stabilizer
NR2C1_+,20,20,19,28.35,58,NR2C1_+,0.0024004705267364,40,stabilizer
NR4A1_+,245,222,165,14.256756756756756,58,NR4A1_+,0.0017336055686029,84,intermediate
PATZ1_+,3153,2858,510,31.159202239328202,65,PATZ1_+,0.0055266573595747,6,stabilizer
PAX5_+,1125,1005,300,15.74228855721393,61,PAX5_+,0.000789988422175,163,destabilizer
PBX1_+,86,83,58,24.012048192771083,59,PBX1_+,5.141489936096463e-05,198,destabilizer
PBX4_+,320,300,137,30.676666666666666,63,PBX4_+,0.0019911393942379,68,intermediate
PHF1_+,376,337,288,50.560830860534125,65,PHF1_+,0.004848008270943,8,stabilizer
PHF20_+,856,778,555,41.811053984575835,64,PHF20_+,0.0023584524866375,44,stabilizer
PLAG1_+,1372,1272,254,30.01572327044025,65,PLAG1_+,0.0001782404029318,191,destabilizer
PLAGL1_+,72,71,60,25.943661971830984,59,PLAGL1_+,0.0007699458240835,165,destabilizer
PLAGL2_+,539,453,288,19.26269315673289,62,PLAGL2_+,0.0011742672712849,136,intermediate
POU2AF1_+,795,698,356,15.800859598853869,61,POU2AF1_+,0.0006059501741553,175,destabilizer
POU2F2_+,1913,1724,622,17.790023201856147,61,POU2F2_+,0.0013524758062761,120,intermediate
POU4F1_+,77,76,36,15.657894736842104,60,POU4F1_+,0.0015398545238583,101,intermediate
PRDM1_+,1144,1053,481,27.482431149097817,63,PRDM1_+,0.0021022136734091,58,intermediate
PRDM4_+,137,124,110,32.37096774193548,63,PRDM4_+,0.0006569379391862,170,destabilizer
RARA_+,1272,1039,660,16.57459095283927,62,RARA_+,0.0019667533090863,69,intermediate
RELB_+,126,124,52,20.008064516129032,60,RELB_+,0.0027839420417892,27,stabilizer
REL_+,1581,1521,536,19.527284681130833,63,REL_+,0.0018740092262723,75,intermediate
RFX5_+,1067,986,487,21.329614604462474,63,RFX5_+,0.0010306223882445,147,intermediate
RORA_+,1017,869,426,26.014959723820482,63,RORA_+,0.0019416062116272,70,intermediate
RORC_+,300,270,108,21.77037037037037,63,RORC_+,0.0002626238398261,190,destabilizer
RUNX1_+,1686,1599,356,27.783614759224516,63,RUNX1_+,0.0015898310590087,94,intermediate
RUNX2_+,984,893,434,22.01231802911534,63,RUNX2_+,0.0008325382569401,158,destabilizer
RUNX3_+,5280,4234,892,25.778932451582428,64,RUNX3_+,0.0018742714079534,74,intermediate
