gene,is_ad_egene,is_drug_target,n_regulating_TFs,n_stabilizer_TFs,n_destabilizer_TFs,n_mapped_TFs,stabilizer_load,n_eqtl_celltypes,coupling_disruption
TPD52,True,False,10,0,5,9,0.0,32,0.21577047947209055
TRAF6,True,False,14,3,0,6,0.5,1,0.08087996796891071
TRIM44,True,False,14,2,0,8,0.25,1,0.37099140385782914
TSLP,False,True,0,0,0,0,,0,
TXN2,True,False,6,0,0,1,0.0,3,0.13868008009646438
TYK2,False,True,11,1,0,2,0.5,12,0.17932156130518365
UBE2Z,True,False,14,2,0,5,0.4,23,0.1894215545385018
UCKL1,True,False,9,2,1,6,0.3333333333333333,4,0.14783241935708735
UQCRQ,True,False,9,2,0,5,0.4,53,0.19586861182578774
VPS51,True,False,7,2,0,3,0.6666666666666666,1,0.10354408548236436
YIF1A,True,False,15,2,0,2,1.0,2,0.15974379787559861
ZBTB10,True,False,10,3,0,8,0.375,6,0.18413301824156336
ZC3H7A,True,False,20,6,0,11,0.5454545454545454,1,0.23580469173556146
ZNF317,True,False,6,2,0,4,0.5,7,0.1811338635033334
ZNF414,True,False,7,4,2,6,0.6666666666666666,2,0.15449969683006143
ZNF558,True,False,2,2,0,2,1.0,2,0.34415425356868645
ZNF562,True,False,10,0,0,2,0.0,1,0.3840395001925246
ZNF652,True,False,8,1,0,4,0.25,12,0.175427539521693
ZNRD2,True,False,13,3,0,4,0.75,2,0.13965055667392404
