gene,magnitude,uniformity,sparsity,gini,non_additivity,n_celltypes,mean_abs_beta,max_abs_beta
AASDH,0.8017888664170253,0.0,0.10144927536231885,0.06106934808307529,1.0,7,0.30113293857142853,0.33816275
ZZEF1,0.7730474519223314,0.0,0.07246376811594203,0.12324127506945515,1.0,5,0.33705219599999997,0.42035148
ZYX,0.7538202015309095,0.0,0.07246376811594203,0.09908610637355886,1.0,5,0.331761806,0.4230994
A2M-AS1,0.9596255557618545,0.0,0.08695652173913043,0.13294099149765914,1.0,6,0.3807375716666666,0.5413591
AACS,0.806221800512489,0.0,0.057971014492753624,0.06496475564444926,1.0,4,0.39954341000000004,0.49091887
ZSCAN29,1.1611754724885568,0.0,0.18840579710144928,0.08955935929733339,1.0,13,0.3181005523076923,0.3993898
ZSCAN9,0.8705128470815727,0.0,0.10144927536231885,0.08404930138438349,1.0,7,0.3250813214285714,0.39908326
ZSWIM7,1.8626061798838665,0.0,0.3333333333333333,0.08068231858467079,1.0,23,0.3843513073913043,0.50327927
ZWINT,1.891029853774932,0.0,0.057971014492753624,0.13273450584056024,1.0,4,0.9195650500000001,1.1830688
AAMDC,0.5723123786491525,0.0,0.043478260869565216,0.06521302876011736,1.0,3,0.32806167666666664,0.37857378
MFN2,1.6993742254385054,0.0,0.13043478260869565,0.241225902609304,1.0,9,0.5003253588888888,1.1963512
MFSD1,0.4126464531875058,0.0,0.043478260869565216,0.09175158439666498,1.0,3,0.23438960666666667,0.2713835
MFSD11,0.8092931485076723,0.0,0.08695652173913043,0.07440740443559357,1.0,6,0.32689847,0.39400288
MFSD13A,1.4573351036735838,0.0,0.13043478260869565,0.17777564823543313,1.0,9,0.45363018666666666,0.77932656
MFSD14C,3.0812225838098604,0.0,0.5507246376811594,0.0973978199755583,1.0,38,0.4926072028947369,0.66939753
MFSD4B,0.4250303849658737,0.0,0.043478260869565216,0.025803917806439536,1.0,3,0.24502498000000003,0.26398292
