gene,n_celltypes,magnitude,uniformity,non_additivity,sparsity,gini
FAM153CP,3,0.9709081791690886,0.1680139119734837,0.9812341601632113,0.9565217391304348,0.9716991798965491
AKAP9,3,0.8735234274912284,0.17324443740288642,0.9800230120257545,0.9565217391304348,0.9703342927291729
PSMC3IP,3,0.9073109115766893,0.17535111006651588,0.9796724940282477,0.9565217391304348,0.9700823878409321
NRGN,3,0.8557410711707496,0.17649701628481368,0.979616743838301,0.9565217391304348,0.9704633028235554
BIRC2,3,0.8844264415307053,0.17775011214113876,0.9788191592650142,0.9565217391304348,0.9691759744298886
RAD50,3,0.766620280125197,0.17949939963706932,0.9783290834065477,0.9565217391304348,0.9687546486156956
KPNB1,3,0.7306152321308473,0.18089034473865545,0.9782176140653224,0.9565217391304348,0.968843180637134
SOX4,3,1.1594434322660392,0.1807664652531277,0.978185008148167,0.9565217391304348,0.9687578559591418
FCGRT,3,0.6185925725241506,0.17984183288948977,0.9781378467103888,0.9565217391304348,0.9685618916135638
MRPL49,3,0.879439123888541,0.18126519406645944,0.9778365540727706,0.9565217391304348,0.9683633998541032
RPIA,3,1.1518593065942975,0.18339940308410685,0.9773515027733772,0.9565217391304348,0.9680869273320167
BUD23,3,0.8241224241144693,0.18266445764295772,0.9772836655053494,0.9565217391304348,0.9678847894824996
RAB6B,3,1.1199980197533006,0.18468165288214827,0.9771526732124864,0.9565217391304348,0.9683351388997656
COPB2,3,0.6407429275446913,0.18463867856273466,0.977014190912772,0.9565217391304348,0.9686938313588787
STX8,3,1.2733419026713755,0.18543707869519366,0.97687393283081,0.9565217391304348,0.9682434243560407
MRPL36,3,0.9176724394737741,0.18620912900408626,0.9761867541944325,0.9565217391304348,0.9671189929298492
IL6ST,3,0.809901162996346,0.1878076440018268,0.9760003537583732,0.9565217391304348,0.9674329530664391
BHLHE40,3,0.570996270676067,0.18740294034208452,0.9758954902875658,0.9565217391304348,0.9669917085742982
BZW1,3,0.7559338965467476,0.1874396191496057,0.9757633200492686,0.9565217391304348,0.9679820615929726
LSM6,3,0.5962515642398688,0.18722890167033523,0.9755450030957391,0.9565217391304348,0.9665824455168617
WIPF2,3,0.7455059365004352,0.18922583285856637,0.9753915867383864,0.9565217391304348,0.9672066116704418
AKIRIN2,3,0.6547486893277581,0.19000279355917232,0.9750955041559656,0.9565217391304348,0.9668945046663207
PNMA1,3,0.9733143481785189,0.18951232930147724,0.9750231747853736,0.9565217391304348,0.9663765688966819
CCND3,3,0.735118927164186,0.19021751264417008,0.974915317747824,0.9565217391304348,0.966445922829194
RWDD1,3,0.7259575807514034,0.19063721051493732,0.9748296727634632,0.9565217391304348,0.966604346811826
ANK1,3,1.0406779565734594,0.19045485044647137,0.9746402071558025,0.9565217391304348,0.9661322949754845
CD4,4,1.1855614755393336,0.20269026966253803,0.9745798425206053,0.9420289855072463,0.9601713288118267
FAM135A,3,1.094316879709863,0.19103776612414583,0.9741962346943523,0.9565217391304348,0.9657607624029874
ABCA1,3,0.9665991158889007,0.19249081701835177,0.973893554442479,0.9565217391304348,0.966242985064058
RBX1,3,0.572226257877613,0.19285713204621857,0.9738078818906667,0.9565217391304348,0.9659137745946746
USP44,3,1.0462481548936697,0.19213719939615764,0.9737831125530603,0.9565217391304348,0.9655331843819962
MMP23B,3,0.8726691584231291,0.19246732861345933,0.9736367588686188,0.9565217391304348,0.9654451560254436
SIVA1,3,0.749327129888517,0.19351696351915867,0.9734342684310241,0.9565217391304348,0.9658640047950239
CCDC170,3,1.476960280083601,0.19221884459569882,0.9732398263820339,0.9565217391304348,0.9664647757085656
INSR,3,0.9720600626178763,0.1942282832237229,0.973068060155712,0.9565217391304348,0.9656310844061943
RICTOR,3,0.5428870171998234,0.19425475868352624,0.972892613838682,0.9565217391304348,0.9650530210728253
TOX,3,0.7800021511789004,0.19484584726454007,0.9726431464848092,0.9565217391304348,0.9649379077763923
ZNF438,3,0.8613675961778391,0.1951337693556236,0.9726114591427405,0.9565217391304348,0.9652948509775434
ZG16B,3,0.9020610201289738,0.193770744582623,0.972593282720549,0.9565217391304348,0.9646879297723205
